Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 0.471618652343750000, 0.147644042968750000, 0.000000000000000000, 0.108825683593750000, 43, 30.5, 1756
Go, fibonacci, -1, 0.175842285156250000, 0.047668457031250000, 0.000000000000000000, 0.041992187500000000, 17, 30.5, 1804
Go, fibonacci, -1, 0.134460449218750000, 0.039611816406250000, 0.000000000000000000, 0.032165527343750000, 12, 30.5, 1760
Go, fibonacci, -1, 0.124877929687500000, 0.037231445312500000, 0.000000000000000000, 0.029785156250000000, 11, 30.5, 1744
Go, fibonacci, -1, 0.124084472656250000, 0.036987304687500000, 0.000000000000000000, 0.027343750000000000, 11, 30.5, 1744
Go, fibonacci, -1, 0.132812500000000000, 0.039245605468750000, 0.000000000000000000, 0.032348632812500000, 12, 30.5, 1740
Go, fibonacci, -1, 0.124389648437500000, 0.036987304687500000, 0.000000000000000000, 0.029724121093750000, 11, 30.5, 1744
Go, fibonacci, -1, 0.152954101562500000, 0.043823242187500000, 0.000000000000000000, 0.034667968750000000, 14, 30.5, 1744
Go, fibonacci, -1, 0.142578125000000000, 0.041137695312500000, 0.000000000000000000, 0.032104492187500000, 12, 30.5, 1736
Go, fibonacci, -1, 0.115783691406250000, 0.035400390625000000, 0.000000000000000000, 0.024841308593750000, 10, 30.5, 1736
