Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 0.209655761718750000, 0.065124511718750000, 0.000000000000000000, 0.052246093750000000, 19, 28.8, 1708
Go, fibonacci, -1, 0.103088378906250000, 0.026916503906250000, 0.000000000000000000, 0.027587890625000000, 10, 28.8, 1756
Go, fibonacci, -1, 0.095092773437500000, 0.025085449218750000, 0.000000000000000000, 0.024841308593750000, 9, 28.8, 1760
Go, fibonacci, -1, 0.103820800781250000, 0.026916503906250000, 0.000000000000000000, 0.027282714843750000, 10, 28.8, 1760
Go, fibonacci, -1, 0.093566894531250000, 0.026428222656250000, 0.000000000000000000, 0.027343750000000000, 10, 28.8, 1760
Go, fibonacci, -1, 0.094177246093750000, 0.024719238281250000, 0.000000000000000000, 0.024841308593750000, 9, 28.8, 1796
Go, fibonacci, -1, 0.094482421875000000, 0.024963378906250000, 0.000000000000000000, 0.024841308593750000, 9, 28.8, 1796
Go, fibonacci, -1, 0.095031738281250000, 0.024902343750000000, 0.000000000000000000, 0.024902343750000000, 10, 28.8, 1764
Go, fibonacci, -1, 0.094238281250000000, 0.024536132812500000, 0.000000000000000000, 0.024841308593750000, 10, 28.8, 1760
Go, fibonacci, -1, 0.093872070312500000, 0.024291992187500000, 0.000000000000000000, 0.024902343750000000, 10, 28.8, 1756
