Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, selectionsort, -1, 173.905273437500000000, 18.130859375000000000, 0.000427246093750000, 61.632812500000000000, 25271, 25.8, 5748
Go, selectionsort, -1, 174.742187500000000000, 18.574218750000000000, 0.000000000000000000, 61.672607421875000000, 25276, 26.2, 5704
Go, selectionsort, -1, 173.577270507812500000, 17.955200195312500000, 0.000427246093750000, 61.611999511718750000, 25268, 26.0, 5748
Go, selectionsort, -1, 174.585693359375000000, 18.617065429687500000, 0.000000000000000000, 61.651611328125000000, 25272, 25.5, 5680
Go, selectionsort, -1, 174.928283691406250000, 18.895568847656250000, 0.000427246093750000, 61.658996582031250000, 25272, 26.5, 5720
Go, selectionsort, -1, 173.406005859375000000, 17.808654785156250000, 0.000427246093750000, 61.622253417968750000, 25274, 25.8, 5760
Go, selectionsort, -1, 195.794372558593750000, 32.029418945312500000, 0.000000000000000000, 63.274658203125000000, 25265, 26.5, 5684
Go, selectionsort, -1, 173.678833007812500000, 18.038146972656250000, 0.000488281250000000, 61.680358886718750000, 25293, 25.8, 5696
Go, selectionsort, -1, 175.182434082031250000, 18.719360351562500000, 0.000000000000000000, 61.670288085937500000, 25276, 26.2, 5712
Go, selectionsort, -1, 172.863891601562500000, 17.739135742187500000, 0.000488281250000000, 61.631835937500000000, 25279, 26.0, 5748
