Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, selectionsort, -1, 10.070861816406250000, 1.268737792968750000, 0.000000000000000000, 3.473937988281250000, 1420, 26.2, 3564
Go, selectionsort, -1, 9.879394531250000000, 1.093444824218750000, 0.000000000000000000, 3.470825195312500000, 1422, 26.2, 3580
Go, selectionsort, -1, 9.804443359375000000, 1.053161621093750000, 0.000000000000000000, 3.466613769531250000, 1421, 25.5, 3576
Go, selectionsort, -1, 9.827087402343750000, 1.061523437500000000, 0.000488281250000000, 3.467285156250000000, 1421, 26.0, 3548
Go, selectionsort, -1, 9.757873535156250000, 1.047363281250000000, 0.000000000000000000, 3.464477539062500000, 1420, 25.8, 3548
Go, selectionsort, -1, 9.801818847656250000, 1.046447753906250000, 0.000000000000000000, 3.466552734375000000, 1421, 26.0, 3580
Go, selectionsort, -1, 9.764282226562500000, 1.054260253906250000, 0.000000000000000000, 3.465209960937500000, 1420, 25.8, 3552
Go, selectionsort, -1, 9.787719726562500000, 1.053955078125000000, 0.000000000000000000, 3.466857910156250000, 1420, 26.0, 3576
Go, selectionsort, -1, 9.772766113281250000, 1.053100585937500000, 0.000000000000000000, 3.466796875000000000, 1421, 25.5, 3580
Go, selectionsort, -1, 9.717163085937500000, 1.034851074218750000, 0.000000000000000000, 3.463928222656250000, 1420, 25.2, 3548
