Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, selectionsort, -1, 43.141906738281250000, 4.405822753906250000, 0.000000000000000000, 15.517089843750000000, 6364, 25.5, 3628
Go, selectionsort, -1, 43.948852539062500000, 4.859313964843750000, 0.000000000000000000, 15.546630859375000000, 6366, 26.2, 3644
Go, selectionsort, -1, 54.061645507812500000, 11.121459960937500000, 0.000488281250000000, 16.241943359375000000, 6366, 26.8, 3648
Go, selectionsort, -1, 54.006103515625000000, 11.109924316406250000, 0.000000000000000000, 16.432189941406250000, 6381, 26.5, 3648
Go, selectionsort, -1, 43.706909179687500000, 4.735229492187500000, 0.000000000000000000, 15.527160644531250000, 6362, 25.8, 3628
Go, selectionsort, -1, 43.418029785156250000, 4.569274902343750000, 0.000000000000000000, 15.516540527343750000, 6362, 26.5, 3648
Go, selectionsort, -1, 43.873901367187500000, 4.848388671875000000, 0.000000000000000000, 15.520324707031250000, 6362, 26.2, 3620
Go, selectionsort, -1, 43.658996582031250000, 4.682617187500000000, 0.000000000000000000, 15.532653808593750000, 6364, 26.2, 3676
Go, selectionsort, -1, 43.359863281250000000, 4.537048339843750000, 0.000000000000000000, 15.516784667968750000, 6361, 25.8, 3656
Go, selectionsort, -1, 43.643127441406250000, 4.594055175781250000, 0.000427246093750000, 15.531311035156250000, 6366, 26.0, 3628
