Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 382.738281250000000000, 48.661010742187500000, 0.000549316406250000, 123.629333496093750000, 50592, 28.0, 1760
Go, fibonacci, -1, 393.446105957031250000, 58.484252929687500000, 0.001098632812500000, 124.329833984375000000, 50600, 28.8, 1792
Go, fibonacci, -1, 410.459594726562500000, 71.501647949218750000, 0.000488281250000000, 124.881835937500000000, 50782, 28.5, 1764
Go, fibonacci, -1, 489.747314453125000000, 130.590881347656250000, 0.000610351562500000, 124.607543945312500000, 50923, 28.5, 1760
Go, fibonacci, -1, 429.025756835937500000, 89.520935058593750000, 0.000610351562500000, 123.397277832031250000, 50565, 29.5, 1764
Go, fibonacci, -1, 408.023742675781250000, 70.581481933593750000, 0.000549316406250000, 123.983459472656250000, 50683, 28.5, 1800
Go, fibonacci, -1, 382.004516601562500000, 48.671875000000000000, 0.000549316406250000, 123.673645019531250000, 50588, 28.2, 1788
Go, fibonacci, -1, 405.862182617187500000, 68.478942871093750000, 0.001037597656250000, 123.905212402343750000, 50655, 28.8, 1788
Go, fibonacci, -1, 430.424804687500000000, 90.607849121093750000, 0.000610351562500000, 123.603698730468750000, 50580, 29.2, 1760
Go, fibonacci, -1, 426.976257324218750000, 88.170898437500000000, 0.000549316406250000, 123.492553710937500000, 50604, 30.5, 1760
