Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 678.981384277343750000, 142.722106933593750000, 0.001159667968750000, 193.804016113281250000, 79211, 29.2, 1684
Go, fibonacci, -1, 771.034912109375000000, 207.638610839843750000, 0.000610351562500000, 197.579528808593750000, 80244, 29.8, 1712
Go, fibonacci, -1, 786.692871093750000000, 220.911804199218750000, 0.001220703125000000, 195.130310058593750000, 79689, 30.2, 1724
Go, fibonacci, -1, 707.315002441406250000, 162.618286132812500000, 0.001159667968750000, 194.469970703125000000, 79435, 29.5, 1684
Go, fibonacci, -1, 799.830505371093750000, 223.619628906250000000, 0.001220703125000000, 195.250732421875000000, 79766, 30.2, 1724
Go, fibonacci, -1, 833.077636718750000000, 240.763977050781250000, 0.001281738281250000, 200.747619628906250000, 81824, 31.2, 1652
Go, fibonacci, -1, 907.198303222656250000, 296.948852539062500000, 0.001281738281250000, 203.722351074218750000, 83155, 30.5, 1720
Go, fibonacci, -1, 1092.928894042968750000, 357.505920410156250000, 0.001281738281250000, 248.031738281250000000, 100811, 31.0, 1640
Go, fibonacci, -1, 1114.281860351562500000, 364.585327148437500000, 0.002014160156250000, 250.801208496093750000, 102673, 31.0, 1736
Go, fibonacci, -1, 1111.144165039062500000, 363.768615722656250000, 0.001342773437500000, 248.681945800781250000, 101710, 30.8, 1684
