Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 692.040283203125000000, 226.486633300781250000, 0.000610351562500000, 155.876098632812500000, 63797, 31.0, 1684
Go, fibonacci, -1, 655.062500000000000000, 214.736450195312500000, 0.001281738281250000, 146.928710937500000000, 60084, 31.5, 1712
Go, fibonacci, -1, 555.213623046875000000, 181.869934082031250000, 0.000610351562500000, 124.606811523437500000, 50974, 31.5, 1724
Go, fibonacci, -1, 549.603637695312500000, 180.354370117187500000, 0.000610351562500000, 123.019958496093750000, 50334, 31.2, 1716
Go, fibonacci, -1, 538.900146484375000000, 167.799194335937500000, 0.000671386718750000, 123.506652832031250000, 50474, 31.0, 1716
Go, fibonacci, -1, 491.426208496093750000, 133.968200683593750000, 0.001281738281250000, 120.152343750000000000, 49173, 30.5, 1652
Go, fibonacci, -1, 485.827270507812500000, 130.711425781250000000, 0.000610351562500000, 119.435729980468750000, 48980, 31.0, 1660
Go, fibonacci, -1, 491.934448242187500000, 134.627929687500000000, 0.000610351562500000, 120.252197265625000000, 49185, 30.2, 1652
Go, fibonacci, -1, 490.853271484375000000, 133.800354003906250000, 0.000610351562500000, 120.419433593750000000, 49264, 30.2, 1728
Go, fibonacci, -1, 489.523864746093750000, 134.052978515625000000, 0.000671386718750000, 119.994079589843750000, 49090, 30.2, 1652
