Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, fibonacci, -1, 160.455322265625000000, 33.862976074218750000, 0.000000000000000000, 45.886535644531250000, 18731, 29.2, 1712
Go, fibonacci, -1, 157.347839355468750000, 31.642944335937500000, 0.000549316406250000, 45.622314453125000000, 18703, 29.0, 1624
Go, fibonacci, -1, 156.344238281250000000, 31.027709960937500000, 0.000000000000000000, 45.552246093750000000, 18684, 28.8, 1620
Go, fibonacci, -1, 156.425659179687500000, 31.160583496093750000, 0.000549316406250000, 45.564758300781250000, 18686, 29.0, 1620
Go, fibonacci, -1, 160.515136718750000000, 33.803039550781250000, 0.000000000000000000, 45.937500000000000000, 18748, 29.5, 1712
Go, fibonacci, -1, 156.678405761718750000, 31.294250488281250000, 0.000000000000000000, 45.573547363281250000, 18686, 28.8, 1648
Go, fibonacci, -1, 156.612976074218750000, 31.257568359375000000, 0.000549316406250000, 45.558837890625000000, 18686, 28.5, 1664
Go, fibonacci, -1, 160.638977050781250000, 33.774475097656250000, 0.000000000000000000, 45.972534179687500000, 18763, 28.5, 1684
Go, fibonacci, -1, 156.384277343750000000, 31.011169433593750000, 0.000549316406250000, 45.556030273437500000, 18685, 28.2, 1624
Go, fibonacci, -1, 156.862243652343750000, 31.335815429687500000, 0.000000000000000000, 45.564270019531250000, 18686, 29.2, 1648
