Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, bubblesort, -1, 33.512023925781250000, 6.775878906250000000, 0.000000000000000000, 9.791503906250000000, 4014, 26.2, 3544
Go, bubblesort, -1, 33.317199707031250000, 6.728698730468750000, 0.000000000000000000, 9.738281250000000000, 3993, 26.5, 3564
Go, bubblesort, -1, 33.144531250000000000, 6.619567871093750000, 0.000488281250000000, 9.699340820312500000, 3976, 26.8, 3580
Go, bubblesort, -1, 33.817199707031250000, 6.775939941406250000, 0.000000000000000000, 9.889648437500000000, 4056, 26.8, 3540
Go, bubblesort, -1, 33.432922363281250000, 6.752197265625000000, 0.000000000000000000, 9.764587402343750000, 4004, 27.0, 3568
Go, bubblesort, -1, 33.283630371093750000, 6.681518554687500000, 0.000000000000000000, 9.735351562500000000, 3993, 26.5, 3544
Go, bubblesort, -1, 33.527282714843750000, 6.724853515625000000, 0.000000000000000000, 9.806274414062500000, 4022, 26.8, 3564
Go, bubblesort, -1, 33.518005371093750000, 6.779235839843750000, 0.000000000000000000, 9.785888671875000000, 4011, 27.0, 3544
Go, bubblesort, -1, 33.499755859375000000, 6.759643554687500000, 0.000000000000000000, 9.786560058593750000, 4013, 26.8, 3592
Go, bubblesort, -1, 34.944396972656250000, 7.955993652343750000, 0.000000000000000000, 9.853759765625000000, 4016, 27.0, 3544
