Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, bubblesort, -1, 81.415710449218750000, 17.316589355468750000, 0.000000000000000000, 23.278564453125000000, 9522, 27.0, 3624
Go, bubblesort, -1, 81.155944824218750000, 16.799316406250000000, 0.000488281250000000, 23.459716796875000000, 9572, 27.2, 3640
Go, bubblesort, -1, 79.933837890625000000, 16.162170410156250000, 0.000000000000000000, 23.241149902343750000, 9526, 27.2, 3624
Go, bubblesort, -1, 80.678955078125000000, 16.413513183593750000, 0.000000000000000000, 23.451721191406250000, 9577, 27.5, 3648
Go, bubblesort, -1, 80.078186035156250000, 16.272827148437500000, 0.000000000000000000, 23.236267089843750000, 9519, 28.0, 3708
Go, bubblesort, -1, 80.320678710937500000, 16.285522460937500000, 0.000549316406250000, 23.345153808593750000, 9536, 27.5, 3620
Go, bubblesort, -1, 80.881774902343750000, 16.328125000000000000, 0.000000000000000000, 23.489868164062500000, 9629, 27.2, 3648
Go, bubblesort, -1, 80.631347656250000000, 16.584838867187500000, 0.000000000000000000, 23.305969238281250000, 9512, 27.5, 3624
Go, bubblesort, -1, 80.051757812500000000, 16.096862792968750000, 0.000000000000000000, 23.296875000000000000, 9548, 27.0, 3648
Go, bubblesort, -1, 80.184265136718750000, 16.289428710937500000, 0.000000000000000000, 23.281311035156250000, 9509, 27.0, 3616
