Language,Program,PowerLimit, Package,Core,GPU,DRAM, Time (ms),Temperature,Memory
Go, catalan, -1, 242.952514648437500000, 167.069458007812500000, 0.001037597656250000, 19.955505371093750000, 7889, 40.2, 1616
Go, catalan, -1, 158.120971679687500000, 84.765930175781250000, 0.000000000000000000, 19.056213378906250000, 7811, 37.5, 1624
Go, catalan, -1, 159.190612792968750000, 85.601135253906250000, 0.000976562500000000, 19.119934082031250000, 7835, 37.0, 1616
Go, catalan, -1, 161.834350585937500000, 87.358398437500000000, 0.000000000000000000, 19.125854492187500000, 7827, 37.0, 1620
Go, catalan, -1, 158.808105468750000000, 84.963562011718750000, 0.000000000000000000, 18.968627929687500000, 7778, 36.5, 1620
Go, catalan, -1, 159.425354003906250000, 85.386291503906250000, 0.000000000000000000, 19.041992187500000000, 7808, 36.8, 1648
Go, catalan, -1, 163.886962890625000000, 89.710571289062500000, 0.000000000000000000, 19.127075195312500000, 7811, 36.5, 1624
Go, catalan, -1, 239.733703613281250000, 163.800842285156250000, 0.001098632812500000, 20.048889160156250000, 7919, 41.0, 1624
Go, catalan, -1, 242.323852539062500000, 166.314758300781250000, 0.000000000000000000, 20.029907226562500000, 7903, 41.8, 1620
Go, catalan, -1, 244.526672363281250000, 168.443908691406250000, 0.000000000000000000, 19.930786132812500000, 7909, 41.5, 1648
