Language,Program,PowerLimit, Package,Core,GPU,DRAM, Time (ms),Temperature,Memory
Go, catalan, -1, 597.611083984375000000, 374.574157714843750000, 0.001037597656250000, 57.816955566406250000, 23479, 36.5, 1644
Go, catalan, -1, 627.699523925781250000, 401.978942871093750000, 0.000000000000000000, 59.907409667968750000, 23620, 37.8, 1620
Go, catalan, -1, 631.958740234375000000, 406.133789062500000000, 0.001098632812500000, 59.451904296875000000, 23593, 38.8, 1620
Go, catalan, -1, 630.970336914062500000, 405.474304199218750000, 0.000000000000000000, 58.047302246093750000, 23613, 38.8, 1624
Go, catalan, -1, 645.012695312500000000, 417.194702148437500000, 0.001159667968750000, 59.971923828125000000, 23662, 39.2, 1684
Go, catalan, -1, 647.045776367187500000, 419.799743652343750000, 0.000000000000000000, 59.516479492187500000, 23629, 39.0, 1620
Go, catalan, -1, 641.150268554687500000, 413.729248046875000000, 0.000000000000000000, 59.180969238281250000, 23579, 40.0, 1620
Go, catalan, -1, 639.524108886718750000, 412.269836425781250000, 0.000000000000000000, 58.067626953125000000, 23590, 39.0, 1684
Go, catalan, -1, 498.945861816406250000, 275.267517089843750000, 0.001098632812500000, 57.923034667968750000, 23496, 40.8, 1620
Go, catalan, -1, 499.167480468750000000, 275.868530273437500000, 0.000000000000000000, 57.761169433593750000, 23499, 39.2, 1620
