Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, quicksort, -1, 2.369873046875000000, 0.371093750000000000, 0.000000000000000000, 0.762023925781250000, 309, 25.5, 8084
Go, quicksort, -1, 2.294677734375000000, 0.367248535156250000, 0.000000000000000000, 0.736694335937500000, 299, 25.5, 8016
Go, quicksort, -1, 2.226074218750000000, 0.374328613281250000, 0.000000000000000000, 0.710815429687500000, 286, 25.5, 8132
Go, quicksort, -1, 2.252746582031250000, 0.341796875000000000, 0.000000000000000000, 0.729187011718750000, 295, 25.5, 8360
Go, quicksort, -1, 2.274536132812500000, 0.349670410156250000, 0.000000000000000000, 0.738708496093750000, 298, 25.2, 7884
Go, quicksort, -1, 2.176635742187500000, 0.339721679687500000, 0.000000000000000000, 0.709106445312500000, 287, 25.2, 8268
Go, quicksort, -1, 2.361938476562500000, 0.371337890625000000, 0.000000000000000000, 0.758728027343750000, 307, 25.2, 8312
Go, quicksort, -1, 2.117004394531250000, 0.329589843750000000, 0.000000000000000000, 0.688171386718750000, 278, 25.2, 8696
Go, quicksort, -1, 2.264831542968750000, 0.370971679687500000, 0.000000000000000000, 0.722412109375000000, 292, 25.2, 8096
Go, quicksort, -1, 2.046997070312500000, 0.326293945312500000, 0.000000000000000000, 0.660522460937500000, 267, 25.2, 7916
