Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Go, quicksort, -1, 3.708129882812500000, 0.667358398437500000, 0.000000000000000000, 1.155761718750000000, 462, 26.2, 11380
Go, quicksort, -1, 3.289001464843750000, 0.536315917968750000, 0.000000000000000000, 1.051452636718750000, 421, 26.2, 9492
Go, quicksort, -1, 3.512329101562500000, 0.582153320312500000, 0.000000000000000000, 1.122131347656250000, 450, 26.2, 11236
Go, quicksort, -1, 3.527404785156250000, 0.585571289062500000, 0.000000000000000000, 1.119750976562500000, 450, 25.8, 9560
Go, quicksort, -1, 3.515197753906250000, 0.587158203125000000, 0.000000000000000000, 1.117126464843750000, 448, 25.8, 9692
Go, quicksort, -1, 3.540405273437500000, 0.602783203125000000, 0.000000000000000000, 1.123535156250000000, 452, 25.8, 9704
Go, quicksort, -1, 3.397277832031250000, 0.556091308593750000, 0.000000000000000000, 1.086242675781250000, 438, 25.0, 9344
Go, quicksort, -1, 3.498413085937500000, 0.568115234375000000, 0.000000000000000000, 1.128112792968750000, 452, 25.0, 9936
Go, quicksort, -1, 3.410400390625000000, 0.549316406250000000, 0.000000000000000000, 1.099792480468750000, 441, 25.0, 9600
Go, quicksort, -1, 3.595092773437500000, 0.584960937500000000, 0.000000000000000000, 1.158752441406250000, 465, 25.5, 10456
